FileName,NumPredFacts,TimeExecImpl,TimeExecNative,ResultImp,ResultNative
Classroom01.als,15,145.2ms,21ms,"inv2,inv5","inv2,inv5"
Classroom02.als,15,188.9ms,53ms,"inv2,inv5","inv2,inv5"
Classroom03.als,15,110.7ms,12ms,"inv2,inv5","inv2,inv5"
Classroom04.als,15,629.07ms,64ms,"inv2,inv5","inv2,inv5"
Classroom05.als,15,109ms,5ms,"inv2,inv5","inv2,inv5"
file01.als,10,38ms,10ms,"inv1,inv3","inv1,inv3"
file02.als,10,38.6ms,11ms,"inv1,inv3","inv1,inv3"
file03.als,10,81.9ms,14ms,"inv1,inv3","inv1,inv2,inv3"
file04.als,10,65.4ms,2ms,"inv1,inv3","inv1,inv2,inv3"
file05.als,10,89.7ms,13ms,"inv1,inv3","inv1,inv3"
graph01.als,8,20.6ms,17ms,stonglyConnected,stonglyConnected
graph02.als,8,38.6ms,24ms,"undirected,oriented","undirected,oriented"
graph03.als,8,41.3ms,26ms,noLoops,noLoops
train.als,12,56.6ms,23ms,"conf1,conf2","conf1,conf2"
trashltl01.als,20,257.5ms,11ms,"prop2,prop3","prop2,prop3"
trashltl02.als,20,132.1ms,8ms,"prop2,prop3","prop2,prop3"
trashltl03.als,20,274.8ms,7ms,"prop2,prop3","prop2,prop3"
trashltl04.als,20,281.4ms,18ms,"prop2,prop3","prop2,prop3"
worker.als,11,76.94ms,52ms,"inv2,inv3,inv8,contradiction","inv2,inv3,inv8,contradiction"
